"Date";"Discipline";"Type";"Homol.";"Country";"Name";"H1";"Site";"EMS Code";"Nat. Code"
"10-11 Sep 2022 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue Auvergne-Rhône-Alpes 3D";"";"Bourg-en-Bress...";"22FRA004";""
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2";"";"Club Omnisport...";"22FRA006";""
"30 Sep - 2 Oct 2022";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2/2";"";"Club Omnisport...";"22FRA007";""
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue Ile-de-France";"";"Nemours Grez/l...";"22FRA009";""
"25-26 Jun 2022";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom CUP";"";"Ski Caraibes A...";"22FRA010";""
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Aqua'Cup";"";"Aqu'Aventure";"22FRA011";""
"10-11 Sep 2022";"Waterski";"INTER";"L";"FRA";"PARIS - Viry Lake's challenge";"";"Club Nautique ...";"22FRA012";""
"13-14 Aug 2022";"Waterski";"INTER";"L";"FRA";"The Fungliss 3.0";"";"FUNGLISS DOMMA...";"22FRA013";""
"11-12 Jun 2022";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"22FRA014";""
"27-28 Aug 2022";"Waterski";"INTER";"L";"FRA";"Baurech 3D";"";"Ski Nautique C...";"22FRA015";""
"8-9 Oct 2022";"Waterski";"INTER";"L";"FRA";"Baurech Cup";"";"Ski Nautique C...";"22FRA016";""
"28-29 May 2022";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"22FRA017";""
"10-11 Sep 2022";"Waterski";"INTER";"L";"FRA";"Lacanau ski classic";"";"Lacanau Ski Cl...";"22FRA018";""
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"22FRA021";""
"3-4 Sep 2022";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"22FRA022";""
"2-3 Jul 2022";"Waterski";"NAT";"L";"FRA";"Ch Ligue NAQU - Mémorial Michel NAUDINAT";"";"Jarnac";"22FRA023";""
"6-7 Aug 2022";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"22FRA024";""
"15-16 Oct 2022";"Waterski";"INTER";"L";"FRA";"Freezing Magic Cup";"";"Nemours Grez/l...";"22FRA025";""
"2-3 Jul 2022";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 22";"";"Ski Nautique C...";"22FRA026";""
"20-21 Aug 2022";"Waterski";"INTER";"L";"FRA";"Austin's Cup 22";"";"Ski Nautique C...";"22FRA027";""
"30-31 Jul 2022";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"22FRA028";""
"13-14 Jul 2022";"Waterski";"NatCH";"L";"FRA";"Championnats de France SENIOR";"";"Ski Nautique C...";"22FRA029";""
"26-28 Aug 2022";"Waterski";"NatCH";"L";"FRA";"Championnats de France RELEVES U10 to U17 - Championnat de Ligue BFC";"";"Ski nautique M...";"22FRA030";""
"18-20 Jul 2022";"Waterski";"NatCH";"R";"FRA";"Championnat de France OPEN U21";"";"Ski Nautique C...";"22FRA031";""
"23-24 Jul 2022";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC";"";"Ski Club Nauti...";"22FRA037";""
"17 Aug 2022";"Waterski";"NAT";"NL";"FRA";"St Pardoux Contest";"";"St Pardoux";"22FRA038";""
"10-18 Sep 2022";"Waterski";"WC";"R";"FRA";"2022 IWWF World Over-35 Waterski Championships";"";"Ski Nautique C...";"22IWWF10";""
"11-17 Sep 2023";"Waterski";"RACHP";"R";"FRA";"2023 IWWF E&A +35 Championship";"";"Club Omnisport...";"23EURO02";""
"17-20 Aug 2023";"Waterski";"RACHP";"R";"FRA";"2023 IWWF E&A Under-21 Championship";"";"Ski Nautique C...";"23EURO08";""
"30 Jun - 2 Jul 2023";"Waterski";"INTER";"R";"FRA";"MALIBU OPEN LACANAU";"";"Lacanau Ski Cl...";"23FRA001";""
"1-2 Jul 2023";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUILLET";"";"Club Omnisport...";"23FRA002";""
"24-25 Jun 2023";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom CUP 2023";"";"Ski Caraibes A...";"23FRA003";""
"8-9 Jul 2023";"Waterski";"INTER";"L";"FRA";"Ski Caraibes 3D- Championnats de Ligue AURA 2023";"";"Ski Caraibes A...";"23FRA004";""
"14-15 Oct 2023 CANCELLED";"Waterski";"INTER";"L";"FRA";"Slalom Classic Memorial Pierre Carmin";"";"Lac de l'Arena...";"23FRA005";""
"17-18 Jun 2023";"Waterski";"INTER";"L";"FRA";"Bordeaux Slalom Cup";"";"Ski Nautique C...";"23FRA006";""
"7-8 Oct 2023";"Waterski";"INTER";"L";"FRA";"Baurech Classic";"";"Ski Nautique C...";"23FRA007";""
"2-3 Sep 2023";"Waterski";"INTER";"L";"FRA";"AQUACUP";"";"Aqu'Aventure";"23FRA008";""
"22-23 Jul 2023 CANCELLED";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC - ANNULE";"";"Ski Club Nauti...";"23FRA009";""
"17-18 Jun 2023";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"23FRA010";""
"20-21 May 2023";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"23FRA011";""
"14-15 Oct 2023";"Waterski";"INTER";"L";"FRA";"Freezing Magic Cup";"";"Nemours Grez/l...";"23FRA012";""
"26-27 Aug 2023";"Waterski";"INTER";"L";"FRA";"Coupe du pays de MONTBELIARD";"";"Ski nautique M...";"23FRA013";""
"9-10 Sep 2023";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau Ski Cl...";"23FRA014";""
"8-9 Jul 2023";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 23";"";"Ski Nautique C...";"23FRA015";""
"5-6 Aug 2023";"Waterski";"INTER";"L";"FRA";"Austin's Cup 23";"";"Ski Nautique C...";"23FRA016";""
"14-16 Jul 2023";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVE 2023";"";"Ski Nautique C...";"23FRA017";""
"18-19 Jul 2023";"Waterski";"NatCH";"R";"FRA";"Championnat de France 2023 - U21 + OPEN";"";"Ski Nautique C...";"23FRA018";""
"28-30 Jul 2023";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"23FRA019";""
"23-24 Sep 2023";"Waterski";"NatCH";"L";"FRA";"Championnat de France INTERLIGUES 2023";"";"Moissac";"23FRA020";""
"2-3 Sep 2023 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin - cancelled";"";"Club Nautique ...";"23FRA022";""
"15-16 Jul 2023";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR 2023";"";"Touraine Ski ...";"23FRA023";""
"16-17 Sep 2023";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"23FRA024";""
"6-7 Jul 2023";"Waterski";"INTER";"L";"FRA";"Magic Trophy";"";"Nemours Grez/l...";"23FRA025";""
"9-10 Sep 2023";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #5";"";"Club Nautique ...";"23FRA026";""
"8-9 Jul 2023";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue Ile de France";"";"Club Nautique ...";"23FRA027";""
"12-13 Aug 2023 CANCELLED";"Waterski";"INTER";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"23FRA028";""
"26-27 Aug 2023";"Waterski";"INTER";"L";"FRA";"Memorial M.Naudinat Ch de Ligue NAQU";"";"St Pardoux";"23FRA033";""
"29-30 Jul 2023";"Waterski";"NAT";"N";"FRA";"Championnats du Mont de Laroche";"";"Association Sp...";"23FRA034";""
"26-27 Aug 2023";"Waterski";"INTER";"N";"FRA";"Championnat de ligue OCC Ski Classique";"";"Blagnac Ski Na...";"23FRA035";""
"9-11 Aug 2024";"Waterski";"RACHP";"R";"FRA";"2024 European Open Championships";"";"Ski Nautique C...";"24EURO04";""
"12-15 Sep 2024";"Waterski";"RACHP";"R";"FRA";"2024 IWWF E&A Under-21 Championship";"";"Lacanau Ski Cl...";"24EURO05";""
"22-23 Jun 2024";"Waterski";"INTER";"R";"FRA";"The Fungliss Pro Am";"";"FUNGLISS DOMMA...";"24FRA001";""
"14-15 Sep 2024";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #6";"";"Club Nautique ...";"24FRA002";""
"26-27 Oct 2024";"Waterski";"INTER";"L";"FRA";"Frozen Magic JG";"";"Nemours Grez/l...";"24FRA003";""
"11-12 May 2024";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"24FRA004";""
"29-30 Jun 2024";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D JUIN";"";"Club Omnisport...";"24FRA005";""
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"Ski Caraibes SLALOM CUP 2024";"";"Ski Caraibes A...";"24FRA007";""
"27-28 Jul 2024";"Waterski";"INTER";"L";"FRA";"Grand Prix de Marcillac - Championnat de Ligue NAQUA";"";"Ski Club Nauti...";"24FRA008";""
"15-16 Jun 2024";"Waterski";"INTER";"L";"FRA";"BORDEAUX SLALOM CUP";"";"Ski Nautique C...";"24FRA009";""
"12-13 Oct 2024";"Waterski";"INTER";"L";"FRA";"BAURECH CLASSIC";"";"Ski Nautique C...";"24FRA010";""
"7-8 Sep 2024";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"24FRA012";""
"27-28 Jul 2024";"Waterski";"NAT";"L";"FRA";"Championnats de ligue BFC";"";"Association Sp...";"24FRA013";""
"2-4 Aug 2024";"Waterski";"INTER";"L";"FRA";"Coupe de Meuzac";"";"BEACH SKI ACAD...";"24FRA016";""
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbéliard";"";"Ski nautique M...";"24FRA017";""
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC 3D";"";"Lacanau Ski Cl...";"24FRA018";""
"2 Jun 2024";"Waterski";"INTER";"L";"FRA";"PITROT 1 DAY";"";"Lacanau Ski Cl...";"24FRA019";""
"24-25 Aug 2024";"Waterski";"INTER";"L";"FRA";"Saint Pardoux Cup";"";"St Pardoux";"24FRA020";""
"15-16 Jun 2024";"Waterski";"INTER";"L";"FRA";"Tours 3D event";"";"Touraine Ski ...";"24FRA021";""
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"NL";"FRA";"Championnat de ligue OCC Ski Classique";"";"Blagnac Ski Na...";"24FRA022";""
"6-7 Jul 2024";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 24";"";"Ski Nautique C...";"24FRA023";""
"17-18 Aug 2024";"Waterski";"INTER";"L";"FRA";"Austin's Cup 24";"";"Ski Nautique C...";"24FRA024";""
"21-22 Sep 2024";"Waterski";"INTER";"L";"FRA";"Jano's Cup 24";"";"Ski Nautique C...";"24FRA025";""
"12-14 Jul 2024";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES";"";"Ski Nautique C...";"24FRA026";""
"16-17 Jul 2024";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Ski Nautique C...";"24FRA027";""
"1-2 Jun 2024";"Waterski";"INTER";"L";"FRA";"Ezylake's cup";"";"Ezylake";"24FRA028";""
"21-22 Sep 2024";"Waterski";"INTER";"L";"FRA";"Biggie's international";"";"Ezylake";"24FRA029";""
"27-28 Jul 2024";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"24FRA030";""
"31 Aug - 1 Sep 2024";"Waterski";"INTER";"L";"FRA";"Magic Trophy";"";"Nemours Grez/l...";"24FRA031";""
"28-29 Sep 2024 CANCELLED";"Waterski";"NatCH";"N";"FRA";"Championnat de France Interligues";"";"TO BE DEFINED";"24FRA032";""
"29-30 Jun 2024 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue IDF";"";"Club Nautique ...";"24FRA033";""
"13-14 Jul 2024";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR";"";"Ski Nautique M...";"24FRA034";""
"9 Jun 2024 CANCELLED";"Waterski";"INTER";"L";"FRA";"PITROT BIS 1 DAY";"";"Lacanau Ski Cl...";"24FRA035";""
"8-9 Jun 2024";"Waterski";"INTER";"L";"FRA";"Magic Challenge";"";"Nemours Grez/l...";"24FRA036";""
"5-6 Oct 2024";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D";"";"Club Omnisport...";"24FRA039";""
"21-22 Jun 2025";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"25FRA001";""
"20-21 Sep 2025";"Waterski";"INTER";"L";"FRA";"Viry Lake's challenge #7";"";"Club Nautique ...";"25FRA002";""
"5-6 Jul 2025";"Waterski";"INTER";"L";"FRA";"MALIBU OPEN";"";"Lacanau Ski Cl...";"25FRA005";""
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau Ski Cl...";"25FRA006";""
"31 May - 1 Jun 2025";"Waterski";"INTER";"L";"FRA";"Magic Cup";"";"Nemours Grez/l...";"25FRA008";""
"27-28 Sep 2025";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"25FRA009";""
"26-27 Jul 2025";"Waterski";"INTER";"L";"FRA";"Magic Challenge";"";"Nemours Grez/l...";"25FRA010";""
"28-29 Jun 2025";"Waterski";"INTER";"L";"FRA";"Le Trophée d'Arc";"";"Club Arc Dijon...";"25FRA011";""
"5-6 Jul 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom Cup";"";"Ski Caraibes A...";"25FRA012";""
"28-29 Jun 2025";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2 30ème anniversaire";"";"Club Omnisport...";"25FRA013";""
"4-5 Oct 2025";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2/2 30ème anniversaire";"";"Club Omnisport...";"25FRA014";""
"30-31 Aug 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"25FRA015";""
"10-11 Jul 2025";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES 2025";"";"Ski nautique M...";"25FRA016";""
"19-20 Jul 2025";"Waterski";"NatCH";"L";"FRA";"Championnat de France SENIOR 2025";"";"Ski Club Nauti...";"25FRA018";""
"2-3 Aug 2025";"Waterski";"INTER";"L";"FRA";"Championnats du mont de Laroche";"";"Association Sp...";"25FRA019";""
"7-8 Jun 2025";"Waterski";"INTER";"L";"FRA";"Ezylake's cup";"";"Ezylake";"25FRA021";""
"4 Jul 2025";"Waterski";"INTER";"L";"FRA";"Aquacup (2+1)";"";"Aqu'Aventure";"25FRA022";""
"14-15 Jun 2025";"Waterski";"INTER";"L";"FRA";"Tours 3D Event - Championnat de ligue CVL";"";"Touraine Ski ...";"25FRA023";""
"23-24 Aug 2025";"Waterski";"INTER";"L";"FRA";"Biggie's International + senior tour stop 4";"";"Ezylake";"25FRA024";""
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"Legends of Ezylake";"";"Ezylake";"25FRA025";""
"30-31 Aug 2025";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbeliard- Championnat Ligue BFC";"";"Ski nautique M...";"25FRA026";""
"5-6 Jul 2025";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 25";"";"Ski Nautique C...";"25FRA027";""
"23-24 Aug 2025";"Waterski";"INTER";"L";"FRA";"Austin's Cup 25";"";"Ski Nautique C...";"25FRA028";""
"20-21 Sep 2025";"Waterski";"INTER";"L";"FRA";"Jano's Cup 25";"";"Ski Nautique C...";"25FRA029";""
"14-15 Jun 2025";"Waterski";"INTER";"L";"FRA";"BAURECH Slalom CUP / 4 RDS";"";"Windsor Ski Cl...";"25FRA030";""
"2-3 Aug 2025";"Waterski";"INTER";"L";"FRA";"BAURECH 3 EVENTS- RL 3 RDS/ Events";"";"Windsor Ski Cl...";"25FRA031";""
"11-12 Oct 2025";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM SERIES 4RD";"";"Windsor Ski Cl...";"25FRA032";""
"27-28 Sep 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Layrac Slalom Cup";"";"LAYRAC";"25FRA036";""
"13-14 Sep 2025";"Waterski";"INTER";"L";"FRA";"Championnat Ligue Grand Est et Coupe Richard Odin";"";"Club Nautique ...";"25FRA037";""
"12-13 Jul 2025";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Ski nautique M...";"25FRA206";""
"3-4 Oct 2025";"Waterski";"INTER";"L";"FRA";"Championnat de Ligue AURA 2025";"";"Ski Caraibes A...";"25FRA208";""
"6-7 Sep 2025 CANCELLED";"Waterski";"INTER";"L";"FRA";"Ch Ligue Nouvelle-Aquitaine Mémorial Michel NAUDINAT";"";"Lacanau pitrot";"25FRA213";""
"6-7 Sep 2025";"Waterski";"INTER";"L";"FRA";"New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat";"";"Lacanau Ski Cl...";"25FRA217";""
"24-25 Oct 2026";"Waterski";"INTER";"L";"FRA";"Frozen Magic JG";"";"Nemours Grez/l...";"26FRA001";""
"20-21 Jun 2026";"Waterski";"INTER";"R";"FRA";"THE FUNGLISS PRO AM";"";"FUNGLISS DOMMA...";"26FRA002";""
"16-17 May 2026";"Waterski";"INTER";"L";"FRA";"Magic Cup 2026";"";"Nemours Grez/l...";"26FRA003";""
"12-13 Sep 2026";"Waterski";"INTER";"L";"FRA";"Viry lake's challenge 8#";"";"Club Nautique ...";"26FRA004";""
"4-5 Jul 2026";"Waterski";"INTER";"L";"FRA";"MALIBU OPEN LACANAU";"";"Lacanau pitrot";"26FRA005";""
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"LACANAU SKI CLASSIC";"";"Lacanau pitrot";"26FRA006";""
"13-14 Jun 2026";"Waterski";"INTER";"L";"FRA";"Le Trophée d'Arc - 3D";"";"Arc sur Tille";"26FRA007";""
"13-14 Jun 2026 CANCELLED";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM CUP RL / 4 RDS";"";"Windsor Ski Cl...";"26FRA008";""
"15-16 Aug 2026";"Waterski";"INTER";"L";"FRA";"Layrac 3D";"";"LAYRAC";"26FRA009";""
"26-27 Sep 2026";"Waterski";"INTER";"L";"FRA";"LAYRAC FALL CLASSIC";"";"LAYRAC";"26FRA010";""
"10-11 Oct 2026";"Waterski";"INTER";"L";"FRA";"BAURECH Slalom Series / EUROPEAN FINAL SENIOR TOUR";"";"Windsor Ski Cl...";"26FRA011";""
"6-7 Jun 2026";"Waterski";"INTER";"L";"FRA";"BEACH SKI ACADEMY CUP - Meuzac";"";"BEACH SKI ACAD...";"26FRA012";""
"25-26 Jul 2026";"Waterski";"INTER";"L";"FRA";"GRAND PRIX DE MARCILLAC";"";"Marcillac la C...";"26FRA013";""
"26-28 Jun 2026";"Waterski";"INTER";"L";"FRA";"Ski Caraibes Slalom & Tricks";"";"Albertville";"26FRA014";""
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"Championnat Ligue NAQU Mémorial M. NAUDINAT et JF. RAPP";"";"Bombannes";"26FRA015";""
"18-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue AURA";"";"Ski Caraibes A...";"26FRA016";""
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"FUNGLISS";"";"FUNGLISS DOMMA...";"26FRA017";""
"27-28 Jun 2026";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 1/2";"";"Club Omnisport...";"26FRA018";""
"3-4 Oct 2026";"Waterski";"INTER";"L";"FRA";"LE PLAN D'EAU 3D 2026 2/2";"";"Club Omnisport...";"26FRA019";""
"17-19 Jul 2026";"Waterski";"NatCH";"L";"FRA";"Championnat de France RELEVES 2026";"";"Jaumard";"26FRA020";""
"17-19 Jul 2026";"Waterski";"NatCH";"R";"FRA";"Championnat de France U21 + OPEN";"";"Jaumard";"26FRA021";""
"4-5 Jul 2026";"Waterski";"INTER";"L";"FRA";"Vinney's Cup 26";"";"Ski Nautique C...";"26FRA022";""
"1-2 Aug 2026";"Waterski";"INTER";"L";"FRA";"Championnats de Ligue BFC";"";"ASSOCIATION SP...";"26FRA023";""
"4-5 Jul 2026";"Waterski";"INTER";"L";"FRA";"ADB & Senior Tour 2026";"";"Arc sur Tille";"26FRA026";""
"1-2 Aug 2026";"Waterski";"INTER";"L";"FRA";"BAURECH SLALOM CUP 2026";"";"Windsor Ski Cl...";"26FRA027";""
"19-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Magic Ski Time";"";"Nemours Grez/l...";"26FRA028";""
"29-30 Aug 2026";"Waterski";"INTER";"L";"FRA";"Coupe du pays de Montbéliard";"";"Ski nautique M...";"26FRA029";""
"22-23 Aug 2026";"Waterski";"INTER";"L";"FRA";"Austin's Cup 26";"";"Ski Nautique C...";"26FRA030";""
"19-20 Sep 2026";"Waterski";"INTER";"L";"FRA";"Jano's Cup 26";"";"Ski Nautique C...";"26FRA031";""
"30-31 May 2026";"Waterski";"INTER";"L";"FRA";"Trick Tours Contest";"";"Touraine Ski ...";"26FRA032";""
"5-6 Sep 2026";"Waterski";"INTER";"L";"FRA";"Championnat de ligue OCC Ski Classique";"";"Moissac";"26FRA034";""
"22-23 Aug 2026";"Waterski";"INTER";"L";"FRA";"Magic Trophy";"";"Nemours Grez/l...";"26FRA035";""
