Year;CompetitionCode;CompetitionDate;CompetitionName;CompetitionType;Homologation;Site;FrenchAthletesAll;FrenchTargetAthletes;FrenchReleves;FrenchU17;FrenchU21;FrenchOpen;FrenchSenior;FrenchOther;TargetSharePercent;OpenSharePercent;SeniorSharePercent;HasU21;HasOpen;HasFiveOpen;HasFiveU21Open;AnalyticalProfile
2023;23FRA026;9-10 Sep 2023;Viry Lake's challenge #5;INTER;L;Club Nautique ...;23;5;1;3;0;2;17;0;21.7;8.7;73.9;0;1;0;0;DOMINANTE_SENIOR
2023;23FRA027;8-9 Jul 2023;Championnats de Ligue Ile de France;INTER;L;Club Nautique ...;22;6;2;1;1;4;14;0;27.3;18.2;63.6;1;1;0;1;DOMINANTE_SENIOR
2023;23FRA033;26-27 Aug 2023;Memorial M.Naudinat Ch de Ligue NAQU;INTER;L;St Pardoux;32;10;9;5;3;2;13;0;31.2;6.2;40.6;1;1;0;1;U21_OPEN_SIGNIFICATIF
2023;23FRA034;29-30 Jul 2023;Championnats du Mont de Laroche;NAT;N;Association Sp...;10;5;0;1;2;2;5;0;50.0;20.0;50.0;1;1;0;0;FILIERE_CIBLE_FAIBLE
2023;23FRA035;26-27 Aug 2023;Championnat de ligue OCC Ski Classique;INTER;N;Blagnac Ski Na...;22;6;9;2;1;3;7;0;27.3;13.6;31.8;1;1;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA001;22-23 Jun 2024;The Fungliss Pro Am;INTER;R;FUNGLISS DOMMA...;12;3;0;1;0;2;9;0;25.0;16.7;75.0;0;1;0;0;DOMINANTE_SENIOR
2024;24FRA002;14-15 Sep 2024;Viry Lake's challenge #6;INTER;L;Club Nautique ...;17;5;0;2;1;2;12;0;29.4;11.8;70.6;1;1;0;0;DOMINANTE_SENIOR
2024;24FRA003;26-27 Oct 2024;Frozen Magic JG;INTER;L;Nemours Grez/l...;11;7;0;0;1;6;4;0;63.6;54.5;36.4;1;1;1;1;CENTREE_OPEN
2024;24FRA004;11-12 May 2024;Magic Cup;INTER;L;Nemours Grez/l...;5;4;0;0;0;4;1;0;80.0;80.0;20.0;0;1;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA005;29-30 Jun 2024;LE PLAN D'EAU 3D JUIN;INTER;L;Club Omnisport...;34;11;2;3;2;6;21;0;32.4;17.6;61.8;1;1;1;1;DOMINANTE_SENIOR
2024;24FRA007;6-7 Jul 2024;Ski Caraibes SLALOM CUP 2024;INTER;L;Ski Caraibes A...;12;3;4;2;0;1;5;0;25.0;8.3;41.7;0;1;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA008;27-28 Jul 2024;Grand Prix de Marcillac - Championnat de Ligue NAQUA;INTER;L;Ski Club Nauti...;32;12;7;3;3;6;13;0;37.5;18.8;40.6;1;1;1;1;U21_OPEN_SIGNIFICATIF
2024;24FRA009;15-16 Jun 2024;BORDEAUX SLALOM CUP;INTER;L;Ski Nautique C...;26;9;4;3;0;6;13;0;34.6;23.1;50.0;0;1;1;1;DOMINANTE_SENIOR
2024;24FRA010;12-13 Oct 2024;BAURECH CLASSIC;INTER;L;Ski Nautique C...;24;5;2;1;1;3;17;0;20.8;12.5;70.8;1;1;0;0;DOMINANTE_SENIOR
2024;24FRA012;7-8 Sep 2024;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;L;Club Nautique ...;16;5;3;2;1;2;8;0;31.2;12.5;50.0;1;1;0;0;DOMINANTE_SENIOR
2024;24FRA013;27-28 Jul 2024;Championnats de ligue BFC;NAT;L;Association Sp...;18;8;0;1;2;5;10;0;44.4;27.8;55.6;1;1;1;1;DOMINANTE_SENIOR
2024;24FRA016;2-4 Aug 2024;Coupe de Meuzac;INTER;L;BEACH SKI ACAD...;31;13;2;3;2;8;16;0;41.9;25.8;51.6;1;1;1;1;DOMINANTE_SENIOR
2024;24FRA017;31 Aug - 1 Sep 2024;Coupe du pays de Montbéliard;INTER;L;Ski nautique M...;14;3;2;0;1;2;9;0;21.4;14.3;64.3;1;1;0;0;DOMINANTE_SENIOR
2024;24FRA018;6-7 Jul 2024;LACANAU SKI CLASSIC 3D;INTER;L;Lacanau Ski Cl...;30;13;1;1;2;10;16;0;43.3;33.3;53.3;1;1;1;1;DOMINANTE_SENIOR
2024;24FRA019;2 Jun 2024;PITROT 1 DAY;INTER;L;Lacanau Ski Cl...;18;8;0;1;2;5;10;0;44.4;27.8;55.6;1;1;1;1;DOMINANTE_SENIOR
2024;24FRA020;24-25 Aug 2024;Saint Pardoux Cup;INTER;L;St Pardoux;16;5;4;3;2;0;7;0;31.2;0.0;43.8;1;0;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA021;15-16 Jun 2024;Tours 3D event;INTER;L;Touraine Ski ...;17;5;1;2;1;2;11;0;29.4;11.8;64.7;1;1;0;0;DOMINANTE_SENIOR
2024;24FRA023;6-7 Jul 2024;Vinney's Cup 24;INTER;L;Ski Nautique C...;8;3;4;0;2;1;1;0;37.5;12.5;12.5;1;1;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA024;17-18 Aug 2024;Austin's Cup 24;INTER;L;Ski Nautique C...;9;5;1;0;2;3;3;0;55.6;33.3;33.3;1;1;0;1;U21_OPEN_SIGNIFICATIF
2024;24FRA025;21-22 Sep 2024;Jano's Cup 24;INTER;L;Ski Nautique C...;6;3;2;1;2;0;1;0;50.0;0.0;16.7;1;0;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA026;12-14 Jul 2024;Championnat de France RELEVES;NatCH;L;Ski Nautique C...;21;7;14;7;0;0;0;0;33.3;0.0;0.0;0;0;0;0;FILIERE_CIBLE_FAIBLE
2024;24FRA027;16-17 Jul 2024;Championnat de France U21 + OPEN;NatCH;R;Ski Nautique C...;22;22;0;0;6;16;0;0;100.0;72.7;0.0;1;1;1;1;CENTREE_OPEN
2024;24FRA028;1-2 Jun 2024;Ezylake's cup;INTER;L;Ezylake;14;4;0;1;0;3;10;0;28.6;21.4;71.4;0;1;0;0;DOMINANTE_SENIOR
2024;24FRA029;21-22 Sep 2024;Biggie's international;INTER;L;Ezylake;20;4;0;2;0;2;16;0;20.0;10.0;80.0;0;1;0;0;DOMINANTE_SENIOR
2024;24FRA030;27-28 Jul 2024;Magic Ski Time;INTER;L;Nemours Grez/l...;17;5;0;0;0;5;12;0;29.4;29.4;70.6;0;1;1;1;DOMINANTE_SENIOR
2024;24FRA031;31 Aug - 1 Sep 2024;Magic Trophy;INTER;L;Nemours Grez/l...;23;9;0;0;2;7;14;0;39.1;30.4;60.9;1;1;1;1;DOMINANTE_SENIOR
2024;24FRA034;13-14 Jul 2024;Championnat de France SENIOR;NatCH;L;Ski Nautique M...;40;0;0;0;0;0;40;0;0.0;0.0;100.0;0;0;0;0;SENIOR_SANS_FILIERE_CIBLE
2024;24FRA036;8-9 Jun 2024;Magic Challenge;INTER;L;Nemours Grez/l...;8;5;0;0;0;5;3;0;62.5;62.5;37.5;0;1;1;1;CENTREE_OPEN
2024;24FRA039;5-6 Oct 2024;LE PLAN D'EAU 3D;INTER;L;Club Omnisport...;26;8;3;3;1;4;15;0;30.8;15.4;57.7;1;1;0;1;DOMINANTE_SENIOR
2025;25FRA001;21-22 Jun 2025;THE FUNGLISS PRO AM;INTER;R;FUNGLISS DOMMA...;17;7;2;2;1;4;8;0;41.2;23.5;47.1;1;1;0;1;U21_OPEN_SIGNIFICATIF
2025;25FRA002;20-21 Sep 2025;Viry Lake's challenge #7;INTER;L;Club Nautique ...;21;8;0;3;2;3;13;0;38.1;14.3;61.9;1;1;0;1;DOMINANTE_SENIOR
2025;25FRA005;5-6 Jul 2025;MALIBU OPEN;INTER;L;Lacanau Ski Cl...;25;12;0;2;2;8;13;0;48.0;32.0;52.0;1;1;1;1;DOMINANTE_SENIOR
2025;25FRA006;13-14 Sep 2025;LACANAU SKI CLASSIC;INTER;L;Lacanau Ski Cl...;27;11;1;0;4;7;15;0;40.7;25.9;55.6;1;1;1;1;DOMINANTE_SENIOR
2025;25FRA008;31 May - 1 Jun 2025;Magic Cup;INTER;L;Nemours Grez/l...;10;8;0;0;0;8;2;0;80.0;80.0;20.0;0;1;1;1;CENTREE_OPEN
2025;25FRA009;27-28 Sep 2025;Magic Ski Time;INTER;L;Nemours Grez/l...;18;6;0;1;1;4;12;0;33.3;22.2;66.7;1;1;0;1;DOMINANTE_SENIOR
2025;25FRA010;26-27 Jul 2025;Magic Challenge;INTER;L;Nemours Grez/l...;14;8;0;1;2;5;6;0;57.1;35.7;42.9;1;1;1;1;U21_OPEN_SIGNIFICATIF
2025;25FRA011;28-29 Jun 2025;Le Trophée d'Arc;INTER;L;Club Arc Dijon...;22;4;0;1;2;1;18;0;18.2;4.5;81.8;1;1;0;0;DOMINANTE_SENIOR
2025;25FRA013;28-29 Jun 2025;LE PLAN D'EAU 3D 1/2 30ème anniversaire;INTER;L;Club Omnisport...;17;6;1;2;0;4;10;0;35.3;23.5;58.8;0;1;0;0;DOMINANTE_SENIOR
2025;25FRA014;4-5 Oct 2025;LE PLAN D'EAU 3D 2/2 30ème anniversaire;INTER;L;Club Omnisport...;17;8;0;3;2;3;9;0;47.1;17.6;52.9;1;1;0;1;DOMINANTE_SENIOR
2025;25FRA016;10-11 Jul 2025;Championnat de France RELEVES 2025;NatCH;L;Ski nautique M...;22;9;13;9;0;0;0;0;40.9;0.0;0.0;0;0;0;0;FILIERE_CIBLE_FAIBLE
2025;25FRA018;19-20 Jul 2025;Championnat de France SENIOR 2025;NatCH;L;Ski Club Nauti...;32;0;0;0;0;0;32;0;0.0;0.0;100.0;0;0;0;0;SENIOR_SANS_FILIERE_CIBLE
2025;25FRA019;2-3 Aug 2025;Championnats du mont de Laroche;INTER;L;Association Sp...;20;10;0;1;3;6;10;0;50.0;30.0;50.0;1;1;1;1;U21_OPEN_SIGNIFICATIF
2025;25FRA021;7-8 Jun 2025;Ezylake's cup;INTER;L;Ezylake;10;4;0;1;0;3;6;0;40.0;30.0;60.0;0;1;0;0;DOMINANTE_SENIOR
2025;25FRA022;4 Jul 2025;Aquacup (2+1);INTER;L;Aqu'Aventure;13;4;0;0;1;3;9;0;30.8;23.1;69.2;1;1;0;0;DOMINANTE_SENIOR
2025;25FRA023;14-15 Jun 2025;Tours 3D Event - Championnat de ligue CVL;INTER;L;Touraine Ski ...;20;4;2;4;0;0;14;0;20.0;0.0;70.0;0;0;0;0;DOMINANTE_SENIOR
2025;25FRA024;23-24 Aug 2025;Biggie's International + senior tour stop 4;INTER;L;Ezylake;11;1;0;1;0;0;10;0;9.1;0.0;90.9;0;0;0;0;DOMINANTE_SENIOR
2025;25FRA025;13-14 Sep 2025;Legends of Ezylake;INTER;L;Ezylake;19;9;0;4;2;3;10;0;47.4;15.8;52.6;1;1;0;1;DOMINANTE_SENIOR
2025;25FRA026;30-31 Aug 2025;Coupe du pays de Montbeliard- Championnat Ligue BFC;INTER;L;Ski nautique M...;15;4;1;1;1;2;10;0;26.7;13.3;66.7;1;1;0;0;DOMINANTE_SENIOR
2025;25FRA027;5-6 Jul 2025;Vinney's Cup 25;INTER;L;Ski Nautique C...;10;6;2;1;2;3;2;0;60.0;30.0;20.0;1;1;0;1;U21_OPEN_SIGNIFICATIF
2025;25FRA028;23-24 Aug 2025;Austin's Cup 25;INTER;L;Ski Nautique C...;12;9;2;3;2;4;1;0;75.0;33.3;8.3;1;1;0;1;U21_OPEN_SIGNIFICATIF
2025;25FRA029;20-21 Sep 2025;Jano's Cup 25;INTER;L;Ski Nautique C...;7;6;1;1;2;3;0;0;85.7;42.9;0.0;1;1;0;1;U21_OPEN_SIGNIFICATIF
2025;25FRA030;14-15 Jun 2025;BAURECH Slalom CUP / 4 RDS;INTER;L;Windsor Ski Cl...;26;8;1;1;0;7;17;0;30.8;26.9;65.4;0;1;1;1;DOMINANTE_SENIOR
2025;25FRA031;2-3 Aug 2025;BAURECH 3 EVENTS- RL 3 RDS/ Events;INTER;L;Windsor Ski Cl...;21;10;1;2;1;7;10;0;47.6;33.3;47.6;1;1;1;1;U21_OPEN_SIGNIFICATIF
2025;25FRA032;11-12 Oct 2025;BAURECH SLALOM SERIES 4RD;INTER;L;Windsor Ski Cl...;18;8;1;1;2;5;9;0;44.4;27.8;50.0;1;1;1;1;DOMINANTE_SENIOR
2025;25FRA037;13-14 Sep 2025;Championnat Ligue Grand Est et Coupe Richard Odin;INTER;L;Club Nautique ...;17;6;4;3;0;3;7;0;35.3;17.6;41.2;0;1;0;0;FILIERE_CIBLE_FAIBLE
2025;25FRA206;12-13 Jul 2025;Championnat de France U21 + OPEN;NatCH;R;Ski nautique M...;27;23;0;0;9;14;4;0;85.2;51.9;14.8;1;1;1;1;CENTREE_OPEN
2025;25FRA208;3-4 Oct 2025;Championnat de Ligue AURA 2025;INTER;L;Ski Caraibes A...;19;5;3;3;0;2;11;0;26.3;10.5;57.9;0;1;0;0;DOMINANTE_SENIOR
2025;25FRA217;6-7 Sep 2025;New !!! Championnats de Ligue NAQU Mémorial Michel Naudinat;INTER;L;Lacanau Ski Cl...;34;17;3;6;3;8;14;0;50.0;23.5;41.2;1;1;1;1;U21_OPEN_SIGNIFICATIF
