Section;IndicatorCode;Period;Label;Numerator;Denominator;Value;Unit;Scope;Source;Interpretation;Status
OPEN_CHAMPIONNATS;OPEN_CHAMP_EVOLUTION;2017-2026;Évolution des présences Open au Championnat;12;28;-57.1;variation_percent;Toutes nationalités de la base historique;renouvellement_open_championnats_2017_2026.csv;Contraction du volume Open au Championnat sur la fenêtre.;VALIDE
U21_VERS_OPEN;U21_OPEN_H1;horizon_1_an;Sorties U21 retrouvées en Open sous 1 an(s);8;42;19.0;percent;"Dernière présence U21 au Championnat ; cohortes avec recul suffisant";cohortes_sortie_u21_vers_open_2017_2026.csv;Mesure une présence Open observable, pas la poursuite de toute pratique compétitive.;VALIDE
U21_VERS_OPEN;U21_OPEN_H2;horizon_2_an;Sorties U21 retrouvées en Open sous 2 an(s);13;35;37.1;percent;"Dernière présence U21 au Championnat ; cohortes avec recul suffisant";cohortes_sortie_u21_vers_open_2017_2026.csv;Mesure une présence Open observable, pas la poursuite de toute pratique compétitive.;VALIDE
U21_VERS_OPEN;U21_OPEN_H3;horizon_3_an;Sorties U21 retrouvées en Open sous 3 an(s);13;31;41.9;percent;"Dernière présence U21 au Championnat ; cohortes avec recul suffisant";cohortes_sortie_u21_vers_open_2017_2026.csv;Mesure une présence Open observable, pas la poursuite de toute pratique compétitive.;VALIDE
PERSISTANCE_OPEN;OPEN_REAPPARITION_H1;horizon_1_an;Réapparition Open sous 1 an(s);11;46;23.9;percent;"Premières apparitions Open 2018-2025 ; cohorte 2017 exclue ; recul comparable";persistance_open_selon_origine_u21_2018_2023.csv;Autorise une ou plusieurs saisons d'interruption.;VALIDE
PERSISTANCE_OPEN;OPEN_CONTINUITE_H1;horizon_1_an;Présence Open continue jusqu'à 1 an(s);11;46;23.9;percent;"Premières apparitions Open 2018-2025 ; recul comparable";persistance_open_selon_origine_u21_2018_2023.csv;Présence au Championnat Open chaque année, sans interruption.;VALIDE
PERSISTANCE_OPEN;OPEN_REAPPARITION_H2;horizon_2_an;Réapparition Open sous 2 an(s);17;41;41.5;percent;"Premières apparitions Open 2018-2025 ; cohorte 2017 exclue ; recul comparable";persistance_open_selon_origine_u21_2018_2023.csv;Autorise une ou plusieurs saisons d'interruption.;VALIDE
PERSISTANCE_OPEN;OPEN_CONTINUITE_H2;horizon_2_an;Présence Open continue jusqu'à 2 an(s);7;41;17.1;percent;"Premières apparitions Open 2018-2025 ; recul comparable";persistance_open_selon_origine_u21_2018_2023.csv;Présence au Championnat Open chaque année, sans interruption.;VALIDE
PERSISTANCE_OPEN;OPEN_REAPPARITION_H3;horizon_3_an;Réapparition Open sous 3 an(s);18;39;46.2;percent;"Premières apparitions Open 2018-2025 ; cohorte 2017 exclue ; recul comparable";persistance_open_selon_origine_u21_2018_2023.csv;Autorise une ou plusieurs saisons d'interruption.;VALIDE
PERSISTANCE_OPEN;OPEN_CONTINUITE_H3;horizon_3_an;Présence Open continue jusqu'à 3 an(s);4;39;10.3;percent;"Premières apparitions Open 2018-2025 ; recul comparable";persistance_open_selon_origine_u21_2018_2023.csv;Présence au Championnat Open chaque année, sans interruption.;VALIDE
ORIGINE_U21_ET_OPEN;OPEN_ORIGINE_U21_RECENTE_REAPPARITION_H3;cohortes_open_2020_2023;Réapparition Open sous trois ans — U21_DANS_LES_3_ANS_AVANT_OU_MEME_ANNEE;5;6;83.3;percent;Trois années d'historique U21 avant et trois années de recul Open après;persistance_open_u21_fenetre_complete_2020_2023.csv;"Association descriptive ; effectif insuffisant pour établir une causalité.";VALIDE
ORIGINE_U21_ET_OPEN;OPEN_ORIGINE_U21_RECENTE_CONTINUITE_H3;cohortes_open_2020_2023;Continuité Open sur trois ans — U21_DANS_LES_3_ANS_AVANT_OU_MEME_ANNEE;0;6;0.0;percent;Trois années d'historique avant et après;persistance_open_u21_fenetre_complete_2020_2023.csv;Présence chaque année sans interruption.;VALIDE
ORIGINE_U21_ET_OPEN;OPEN_SANS_U21_RECENTE_REAPPARITION_H3;cohortes_open_2020_2023;Réapparition Open sous trois ans — AUCUN_U21_OBSERVE_DANS_LES_3_ANS;5;17;29.4;percent;Trois années d'historique U21 avant et trois années de recul Open après;persistance_open_u21_fenetre_complete_2020_2023.csv;"Association descriptive ; effectif insuffisant pour établir une causalité.";VALIDE
ORIGINE_U21_ET_OPEN;OPEN_SANS_U21_RECENTE_CONTINUITE_H3;cohortes_open_2020_2023;Continuité Open sur trois ans — AUCUN_U21_OBSERVE_DANS_LES_3_ANS;1;17;5.9;percent;Trois années d'historique avant et après;persistance_open_u21_fenetre_complete_2020_2023.csv;Présence chaque année sans interruption.;VALIDE
CAPTATION_CHAMPIONNAT;CHAMP_OPEN_CAPTURE_FR;2023;Captation des Open français par le code précis;18;41;43.9;percent;"Open français EMS ; code 23FRA018";registre_filiere_open_ems_2023_2025.csv + audit_perimetre_championnat_open_nationalite_2023_2025.csv;Indicateur central de rassemblement du vivier français.;VALIDE
CAPTATION_CHAMPIONNAT;CHAMP_OPEN_TOTAL;2023;Participants Open du code précis, toutes nationalités;;;21;sportifs;Code 23FRA018;audit_perimetre_championnat_open_nationalite_2023_2025.csv;À distinguer du numérateur français de captation.;VALIDE
CAPTATION_CHAMPIONNAT;CHAMP_OPEN_CAPTURE_FR;2024;Captation des Open français par le code précis;16;37;43.2;percent;"Open français EMS ; code 24FRA027";registre_filiere_open_ems_2023_2025.csv + audit_perimetre_championnat_open_nationalite_2023_2025.csv;Indicateur central de rassemblement du vivier français.;VALIDE
CAPTATION_CHAMPIONNAT;CHAMP_OPEN_TOTAL;2024;Participants Open du code précis, toutes nationalités;;;18;sportifs;Code 24FRA027;audit_perimetre_championnat_open_nationalite_2023_2025.csv;À distinguer du numérateur français de captation.;VALIDE
CAPTATION_CHAMPIONNAT;CHAMP_OPEN_CAPTURE_FR;2025;Captation des Open français par le code précis;14;49;28.6;percent;"Open français EMS ; code 25FRA206";registre_filiere_open_ems_2023_2025.csv + audit_perimetre_championnat_open_nationalite_2023_2025.csv;Indicateur central de rassemblement du vivier français.;VALIDE
CAPTATION_CHAMPIONNAT;CHAMP_OPEN_TOTAL;2025;Participants Open du code précis, toutes nationalités;;;14;sportifs;Code 25FRA206;audit_perimetre_championnat_open_nationalite_2023_2025.csv;À distinguer du numérateur français de captation.;VALIDE
CALENDRIER;CAL_OPEN_COMPETITIONS;2023;Compétitions accueillant au moins un Open français;;;24;competitions;Calendrier EMS France;fonction_competitions_open_ems_2023_2025.csv;Volume d'offre compétitive, non nombre de qualifications.;VALIDE
CALENDRIER;CAL_OPEN_CHAMPS_1_4;2023;Compétitions avec seulement un à quatre Open;14;24;58.3;percent;Compétitions avec Open français;fonction_competitions_open_ems_2023_2025.csv;Mesure la faible profondeur des champs.;VALIDE
CALENDRIER;CAL_ZERO_OVERLAP;2023;Paires de compétitions sans Open commun;180;276;65.2;percent;Toutes les paires de compétitions Open de la saison;fragmentation_calendrier_open_ems_2023_2025.csv;Fragmentation relationnelle du calendrier.;VALIDE
CALENDRIER;CAL_LARGEST_COMPONENT;2023;Compétitions appartenant à la plus grande composante;22;24;91.7;ratio;Graphe des compétitions reliées par au moins un Open commun;fragmentation_calendrier_open_ems_2023_2025.csv;Montre qu'un noyau multi-épreuves relie malgré tout l'essentiel du calendrier.;VALIDE
CALENDRIER;CAL_OPEN_COMPETITIONS;2024;Compétitions accueillant au moins un Open français;;;25;competitions;Calendrier EMS France;fonction_competitions_open_ems_2023_2025.csv;Volume d'offre compétitive, non nombre de qualifications.;VALIDE
CALENDRIER;CAL_OPEN_CHAMPS_1_4;2024;Compétitions avec seulement un à quatre Open;13;25;52.0;percent;Compétitions avec Open français;fonction_competitions_open_ems_2023_2025.csv;Mesure la faible profondeur des champs.;VALIDE
CALENDRIER;CAL_ZERO_OVERLAP;2024;Paires de compétitions sans Open commun;175;300;58.3;percent;Toutes les paires de compétitions Open de la saison;fragmentation_calendrier_open_ems_2023_2025.csv;Fragmentation relationnelle du calendrier.;VALIDE
CALENDRIER;CAL_LARGEST_COMPONENT;2024;Compétitions appartenant à la plus grande composante;21;25;84.0;ratio;Graphe des compétitions reliées par au moins un Open commun;fragmentation_calendrier_open_ems_2023_2025.csv;Montre qu'un noyau multi-épreuves relie malgré tout l'essentiel du calendrier.;VALIDE
CALENDRIER;CAL_OPEN_COMPETITIONS;2025;Compétitions accueillant au moins un Open français;;;25;competitions;Calendrier EMS France;fonction_competitions_open_ems_2023_2025.csv;Volume d'offre compétitive, non nombre de qualifications.;VALIDE
CALENDRIER;CAL_OPEN_CHAMPS_1_4;2025;Compétitions avec seulement un à quatre Open;15;25;60.0;percent;Compétitions avec Open français;fonction_competitions_open_ems_2023_2025.csv;Mesure la faible profondeur des champs.;VALIDE
CALENDRIER;CAL_ZERO_OVERLAP;2025;Paires de compétitions sans Open commun;201;300;67.0;percent;Toutes les paires de compétitions Open de la saison;fragmentation_calendrier_open_ems_2023_2025.csv;Fragmentation relationnelle du calendrier.;VALIDE
CALENDRIER;CAL_LARGEST_COMPONENT;2025;Compétitions appartenant à la plus grande composante;23;25;92.0;ratio;Graphe des compétitions reliées par au moins un Open commun;fragmentation_calendrier_open_ems_2023_2025.csv;Montre qu'un noyau multi-épreuves relie malgré tout l'essentiel du calendrier.;VALIDE
CALENDRIER;RETENTION_1_COMPETITION;2023-2024;Présence Open l'année suivante — 1_COMPETITION;3;12;25.0;percent;Open français EMS;retention_open_selon_intensite_ems_2023_2024.csv;"Association descriptive entre intensité et rétention ; aucune causalité démontrée.";VALIDE
CALENDRIER;RETENTION_5_PLUS;2023-2024;Présence Open l'année suivante — 5_PLUS;4;4;100.0;percent;Open français EMS;retention_open_selon_intensite_ems_2023_2024.csv;"Association descriptive entre intensité et rétention ; aucune causalité démontrée.";VALIDE
CALENDRIER;RETENTION_1_COMPETITION;2024-2025;Présence Open l'année suivante — 1_COMPETITION;7;13;53.8;percent;Open français EMS;retention_open_selon_intensite_ems_2023_2024.csv;"Association descriptive entre intensité et rétention ; aucune causalité démontrée.";VALIDE
CALENDRIER;RETENTION_5_PLUS;2024-2025;Présence Open l'année suivante — 5_PLUS;8;8;100.0;percent;Open français EMS;retention_open_selon_intensite_ems_2023_2024.csv;"Association descriptive entre intensité et rétention ; aucune causalité démontrée.";VALIDE
OPEN_VERS_SENIOR;OPEN_SENIOR_H1;horizon_1_saison;Passage Senior dans les 1 première(s) saison(s) observables;0;24;0.0;percent;Anciens Open devenus éligibles et disposant du recul requis;continuite_open_senior_horizons_2017_2026.csv;Indicateur d'aval, non indicateur central de performance.;VALIDE
OPEN_VERS_SENIOR;OPEN_SENIOR_H2;horizon_2_saison;Passage Senior dans les 2 première(s) saison(s) observables;4;14;28.6;percent;Anciens Open devenus éligibles et disposant du recul requis;continuite_open_senior_horizons_2017_2026.csv;Indicateur d'aval, non indicateur central de performance.;VALIDE
OPEN_VERS_SENIOR;OPEN_SENIOR_H3;horizon_3_saison;Passage Senior dans les 3 première(s) saison(s) observables;4;10;40.0;percent;Anciens Open devenus éligibles et disposant du recul requis;continuite_open_senior_horizons_2017_2026.csv;Indicateur d'aval, non indicateur central de performance.;VALIDE
OPEN_VERS_SENIOR;OPEN_SENIOR_EVENTUEL;jusqu_a_2026;Anciens Open retrouvés ultérieurement en Senior;5;24;20.8;percent;Trajectoires avec au moins une saison observable;continuite_open_senior_horizons_2017_2026.csv;Décrit une continuité observable au Championnat seulement.;VALIDE
OPEN_VERS_SENIOR;OPEN_SENIOR_CHEVAUCHEMENT;2017-2026;Sportifs simultanément Open et Senior une même saison;;;8;sportifs;Championnat de France;chevauchements_open_senior_2017_2026.csv;Open et Senior peuvent se chevaucher plutôt que se succéder.;VALIDE
