Year;CompetitionCode;ChampionshipBlock;Sex;Event;CanonicalAthleteKey;Status;DataQuality;EmsPopulationGroup;ResultPopulationGroup;EmsCategory;ResultCategory;EmsName;ResultName
2023;23FRA017;RELEVES;M;COMBINE;FRA|2011|ORTS ELVIS;MATCH;USABLE;RELEVES;RELEVES;U12;U12;ORTS Elvis;Orts Elvis
2023;23FRA017;RELEVES;M;FIGURES;FRA|2011|ORTS ELVIS;MATCH;USABLE;RELEVES;RELEVES;U12;U12;ORTS Elvis;Orts Elvis
2023;23FRA017;RELEVES;M;SAUT;FRA|2011|ORTS ELVIS;MATCH;USABLE;RELEVES;RELEVES;U12;U12;ORTS Elvis;Orts Elvis
2023;23FRA017;RELEVES;M;SLALOM;FRA|2011|ORTS ELVIS;MATCH;USABLE;RELEVES;RELEVES;U12;U12;ORTS Elvis;Orts Elvis
2023;23FRA017;RELEVES;F;SLALOM;FRA|2010|COSTER EVA;MATCH;USABLE;RELEVES;RELEVES;U14;U14;COSTER Eva;Coster Eva
2023;23FRA017;RELEVES;F;COMBINE;FRA|2009|GENELOT VALENTINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;GENELOT Valentine;Genelot Valentine
2023;23FRA017;RELEVES;F;FIGURES;FRA|2009|GENELOT VALENTINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;GENELOT Valentine;Genelot Valentine
2023;23FRA017;RELEVES;F;SAUT;FRA|2009|GENELOT VALENTINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;GENELOT Valentine;Genelot Valentine
2023;23FRA017;RELEVES;F;SLALOM;FRA|2009|GENELOT VALENTINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;GENELOT Valentine;Genelot Valentine
2023;23FRA017;RELEVES;F;COMBINE;FRA|2010|LE FORESTIER MAELYS;MATCH;USABLE;RELEVES;RELEVES;U14;U14;LE FORESTIER Maelys;Le Forestier Maelys
2023;23FRA017;RELEVES;F;FIGURES;FRA|2010|LE FORESTIER MAELYS;MATCH;USABLE;RELEVES;RELEVES;U14;U14;LE FORESTIER Maelys;Le Forestier Maelys
2023;23FRA017;RELEVES;F;SAUT;FRA|2010|LE FORESTIER MAELYS;MATCH;USABLE;RELEVES;RELEVES;U14;U14;LE FORESTIER Maelys;Le Forestier Maelys
2023;23FRA017;RELEVES;F;SLALOM;FRA|2010|LE FORESTIER MAELYS;MATCH;USABLE;RELEVES;RELEVES;U14;U14;LE FORESTIER Maelys;Le Forestier Maelys
2023;23FRA017;RELEVES;F;COMBINE;FRA|2010|MOREL MELITINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;MOREL Melitine;Morel Melitine
2023;23FRA017;RELEVES;F;FIGURES;FRA|2010|MOREL MELITINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;MOREL Melitine;Morel Melitine
2023;23FRA017;RELEVES;F;SAUT;FRA|2010|MOREL MELITINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;MOREL Melitine;Morel Melitine
2023;23FRA017;RELEVES;F;SLALOM;FRA|2010|MOREL MELITINE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;MOREL Melitine;Morel Melitine
2023;23FRA017;RELEVES;M;COMBINE;FRA|2009|NEYRAC QUENTIN;MATCH;USABLE;RELEVES;RELEVES;U14;U14;NEYRAC Quentin;Neyrac Quentin
2023;23FRA017;RELEVES;M;FIGURES;FRA|2009|NEYRAC QUENTIN;MATCH;USABLE;RELEVES;RELEVES;U14;U14;NEYRAC Quentin;Neyrac Quentin
2023;23FRA017;RELEVES;M;SAUT;FRA|2009|NEYRAC QUENTIN;MATCH;USABLE;RELEVES;RELEVES;U14;U14;NEYRAC Quentin;Neyrac Quentin
2023;23FRA017;RELEVES;M;SLALOM;FRA|2009|NEYRAC QUENTIN;MATCH;USABLE;RELEVES;RELEVES;U14;U14;NEYRAC Quentin;Neyrac Quentin
2023;23FRA017;RELEVES;M;COMBINE;FRA|2009|POITOUX CHRISTMANN CHARLES;MATCH;USABLE;RELEVES;RELEVES;U14;U14;POITOUX CHRISTMANN Charles;Poitoux Charles
2023;23FRA017;RELEVES;M;FIGURES;FRA|2009|POITOUX CHRISTMANN CHARLES;MATCH;USABLE;RELEVES;RELEVES;U14;U14;POITOUX CHRISTMANN Charles;Poitoux Charles
2023;23FRA017;RELEVES;M;SAUT;FRA|2009|POITOUX CHRISTMANN CHARLES;MATCH;USABLE;RELEVES;RELEVES;U14;U14;POITOUX CHRISTMANN Charles;Poitoux Charles
2023;23FRA017;RELEVES;M;SLALOM;FRA|2009|POITOUX CHRISTMANN CHARLES;MATCH;USABLE;RELEVES;RELEVES;U14;U14;POITOUX CHRISTMANN Charles;Poitoux Charles
2023;23FRA017;RELEVES;M;FIGURES;FRA|2010|SAUNIER THIMOTE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;SAUNIER Thimote;Saunier Thimot
2023;23FRA017;RELEVES;M;SLALOM;FRA|2010|SAUNIER THIMOTE;MATCH;USABLE;RELEVES;RELEVES;U14;U14;SAUNIER Thimote;Saunier Thimot
2023;23FRA017;RELEVES;M;SLALOM;FRA|2006|BRUYERE TONY;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;BRUYERE Tony;Bruyere Tony
2023;23FRA017;RELEVES;F;SLALOM;FRA|2008|COSTER CARLA;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;COSTER Carla;Coster Carla
2023;23FRA017;RELEVES;F;FIGURES;FRA|2006|CURTI CLEMENTINE;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;CURTI Clémentine;Curti Clmentine
2023;23FRA017;RELEVES;F;SLALOM;FRA|2006|CURTI CLEMENTINE;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;CURTI Clémentine;Curti Clmentine
2023;23FRA017;RELEVES;M;SLALOM;FRA|2007|DRAUX VIRGILE;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DRAUX Virgile;Draux Virgile
2023;23FRA017;RELEVES;M;COMBINE;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA017;RELEVES;M;FIGURES;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA017;RELEVES;M;SAUT;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA017;RELEVES;M;SLALOM;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA017;RELEVES;F;COMBINE;FRA|2007|DUVERGER MARIE-LOU;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUVERGER Marie-Lou;Duverger Marie-Lou
2023;23FRA017;RELEVES;F;FIGURES;FRA|2007|DUVERGER MARIE-LOU;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUVERGER Marie-Lou;Duverger Marie-Lou
2023;23FRA017;RELEVES;F;SAUT;FRA|2007|DUVERGER MARIE-LOU;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUVERGER Marie-Lou;Duverger Marie-Lou
2023;23FRA017;RELEVES;F;SLALOM;FRA|2007|DUVERGER MARIE-LOU;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;DUVERGER Marie-Lou;Duverger Marie-Lou
2023;23FRA017;RELEVES;M;SAUT;FRA|2008|GEORGES MATTEO;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GEORGES Matteo;Georges Matto
2023;23FRA017;RELEVES;M;SLALOM;FRA|2008|GEORGES MATTEO;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GEORGES Matteo;Georges Matto
2023;23FRA017;RELEVES;M;FIGURES;FRA|2007|GERMAIN PIERRE LOUIS;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GERMAIN Pierre Louis;Germain Pierre Louis
2023;23FRA017;RELEVES;M;SLALOM;FRA|2007|GERMAIN PIERRE LOUIS;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GERMAIN Pierre Louis;Germain Pierre Louis
2023;23FRA017;RELEVES;M;COMBINE;FRA|2008|GILG GASPARD;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GILG Gaspard;Gilg Gaspard
2023;23FRA017;RELEVES;M;FIGURES;FRA|2008|GILG GASPARD;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GILG Gaspard;Gilg Gaspard
2023;23FRA017;RELEVES;M;SAUT;FRA|2008|GILG GASPARD;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GILG Gaspard;Gilg Gaspard
2023;23FRA017;RELEVES;M;SLALOM;FRA|2008|GILG GASPARD;MATCH;USABLE;JUNIOR;JUNIOR;U17;U17;GILG Gaspard;Gilg Gaspard
2023;23FRA018;U21_OPEN;M;COMBINE;FRA|1996|DAILLAND TANGUY;EMS_ONLY;USABLE;OPEN;;OPEN;;DAILLAND Tanguy;
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|1996|DAILLAND TANGUY;EMS_ONLY;USABLE;OPEN;;OPEN;;DAILLAND Tanguy;
2023;23FRA018;U21_OPEN;M;SAUT;FRA|1996|DAILLAND TANGUY;EMS_ONLY;USABLE;OPEN;;OPEN;;DAILLAND Tanguy;
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1996|DAILLAND TANGUY;EMS_ONLY;USABLE;OPEN;;OPEN;;DAILLAND Tanguy;
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|1989|BALLON PIERRE;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BALLON Pierre;Ballon Pierre
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1983|BARONI ALEXIS;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BARONI Alexis;Baroni Alexis
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|1996|BISCHOFBERGER ILLANA;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BISCHOFBERGER Illana;Bischofberger Illana
2023;23FRA018;U21_OPEN;M;COMBINE;FRA|1994|BISCHOFBERGER OSCAR;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BISCHOFBERGER Oscar;Bischofberger Oscar
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|1994|BISCHOFBERGER OSCAR;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BISCHOFBERGER Oscar;Bischofberger Oscar
2023;23FRA018;U21_OPEN;M;SAUT;FRA|1994|BISCHOFBERGER OSCAR;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BISCHOFBERGER Oscar;Bischofberger Oscar
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1994|BISCHOFBERGER OSCAR;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;BISCHOFBERGER Oscar;Bischofberger Oscar
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|1991|COSTARD MANON;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;COSTARD Manon;Costard Manon
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|1990|DAILLAND THIBAUT;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DAILLAND Thibaut;Dailland Thibaut
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1990|DAILLAND THIBAUT;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DAILLAND Thibaut;Dailland Thibaut
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1995|DAUZONNE SACHA;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DAUZONNE Sacha;Dauzonne Sacha
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1992|DESCUNS SACHA;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DESCUNS Sacha;Descuns Sacha
2023;23FRA018;U21_OPEN;M;COMBINE;FRA|2000|DUPLAN FRIBOURG LOUIS;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DUPLAN FRIBOURG Louis;Duplan-Fribourg Louis
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|2000|DUPLAN FRIBOURG LOUIS;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DUPLAN FRIBOURG Louis;Duplan-Fribourg Louis
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2000|DUPLAN FRIBOURG LOUIS;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DUPLAN FRIBOURG Louis;Duplan-Fribourg Louis
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2000|DUPLAN FRIBOURG LOUIS;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;DUPLAN FRIBOURG Louis;Duplan-Fribourg Louis
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|1989|JAMIN ROLAND;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;JAMIN Roland;Jamin Roland
2023;23FRA018;U21_OPEN;F;COMBINE;FRA|1991|MARTINI MARIE;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MARTINI Marie;Martini Marie
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|1991|MARTINI MARIE;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MARTINI Marie;Martini Marie
2023;23FRA018;U21_OPEN;F;SAUT;FRA|1991|MARTINI MARIE;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MARTINI Marie;Martini Marie
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|1991|MARTINI MARIE;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MARTINI Marie;Martini Marie
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|1999|MIERMONT LEA;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MIERMONT Lea;Miermont Lea
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|1999|MIERMONT LEA;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MIERMONT Lea;Miermont Lea
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2001|MOREL BENJAMIN;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MOREL Benjamin;Morel Benjamin
2023;23FRA018;U21_OPEN;F;COMBINE;FRA|1999|MOULANIER MARIE-LOU;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MOULANIER Marie-Lou;Moulanier Marie-Lou
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|1999|MOULANIER MARIE-LOU;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MOULANIER Marie-Lou;Moulanier Marie-Lou
2023;23FRA018;U21_OPEN;F;SAUT;FRA|1999|MOULANIER MARIE-LOU;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MOULANIER Marie-Lou;Moulanier Marie-Lou
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|1999|MOULANIER MARIE-LOU;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;MOULANIER Marie-Lou;Moulanier Marie-Lou
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2000|NEDEAU TANGUY;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;NEDEAU Tanguy;Nedeau Tanguy
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2000|NEDEAU TANGUY;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;NEDEAU Tanguy;Nedeau Tanguy
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|1994|PHILY LAURA;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;PHILY Laura;Phily Laura
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|1987|WELTER CLAIRE-LISE;MATCH;USABLE;OPEN;OPEN;OPEN;OPEN;WELTER Claire-Lise;Welter Claire-Lise
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2002|AMBLARD ARTHUR;MATCH;USABLE;U21;U21;U21;U21;AMBLARD Arthur;Amblard Arthur
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2002|AMBLARD ARTHUR;MATCH;USABLE;U21;U21;U21;U21;AMBLARD Arthur;Amblard Arthur
2023;23FRA018;U21_OPEN;F;COMBINE;FRA|2002|ANGUENOT INES;MATCH;USABLE;U21;U21;U21;U21;ANGUENOT Inès;Anguenot Ins
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|2002|ANGUENOT INES;MATCH;USABLE;U21;U21;U21;U21;ANGUENOT Inès;Anguenot Ins
2023;23FRA018;U21_OPEN;F;SAUT;FRA|2002|ANGUENOT INES;MATCH;USABLE;U21;U21;U21;U21;ANGUENOT Inès;Anguenot Ins
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|2002|ANGUENOT INES;MATCH;USABLE;U21;U21;U21;U21;ANGUENOT Inès;Anguenot Ins
2023;23FRA018;U21_OPEN;M;COMBINE;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;U21;U21;U21;U21;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;U21;U21;U21;U21;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;U21;U21;U21;U21;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2007|DUPLAN FRIBOURG TRISTAN;MATCH;USABLE;U21;U21;U21;U21;DUPLAN FRIBOURG Tristan;Duplan Fribourg Tristan
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2008|GEORGES MATTEO;MATCH;USABLE;U21;U21;U21;U21;GEORGES Matteo;Georges Matto
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2007|GERMAIN PIERRE LOUIS;MATCH;USABLE;U21;U21;U21;U21;GERMAIN Pierre Louis;Germain Pierre Louis
2023;23FRA018;U21_OPEN;M;COMBINE;FRA|2005|LAVAU CLARENS;MATCH;USABLE;U21;U21;U21;U21;LAVAU Clarens;Lavau Clarens
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|2005|LAVAU CLARENS;MATCH;USABLE;U21;U21;U21;U21;LAVAU Clarens;Lavau Clarens
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2005|LAVAU CLARENS;MATCH;USABLE;U21;U21;U21;U21;LAVAU Clarens;Lavau Clarens
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2005|LAVAU CLARENS;MATCH;USABLE;U21;U21;U21;U21;LAVAU Clarens;Lavau Clarens
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2004|MORIN ANTOINE;MATCH;USABLE;U21;U21;U21;U21;MORIN Antoine;Morin Antoine
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2004|NEYRAC ALBAN;MATCH;USABLE;U21;U21;U21;U21;NEYRAC Alban;Neyrac Alban
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2004|NEYRAC ALBAN;MATCH;USABLE;U21;U21;U21;U21;NEYRAC Alban;Neyrac Alban
2023;23FRA018;U21_OPEN;M;COMBINE;FRA|2004|NOTAT HUGO;MATCH;USABLE;U21;U21;U21;U21;NOTAT Hugo;Notat Hugo
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|2004|NOTAT HUGO;MATCH;USABLE;U21;U21;U21;U21;NOTAT Hugo;Notat Hugo
2023;23FRA018;U21_OPEN;M;SAUT;FRA|2004|NOTAT HUGO;MATCH;USABLE;U21;U21;U21;U21;NOTAT Hugo;Notat Hugo
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2004|NOTAT HUGO;MATCH;USABLE;U21;U21;U21;U21;NOTAT Hugo;Notat Hugo
2023;23FRA018;U21_OPEN;F;COMBINE;FRA|2003|PAGET MARIE;MATCH;USABLE;U21;U21;U21;U21;PAGET Marie;Paget Marie
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|2003|PAGET MARIE;MATCH;USABLE;U21;U21;U21;U21;PAGET Marie;Paget Marie
2023;23FRA018;U21_OPEN;F;SAUT;FRA|2003|PAGET MARIE;MATCH;USABLE;U21;U21;U21;U21;PAGET Marie;Paget Marie
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|2003|PAGET MARIE;MATCH;USABLE;U21;U21;U21;U21;PAGET Marie;Paget Marie
2023;23FRA018;U21_OPEN;F;COMBINE;FRA|2004|SNITER MATHILDE;MATCH;USABLE;U21;U21;U21;U21;SNITER Mathilde;Sniter Mathilde
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|2004|SNITER MATHILDE;MATCH;USABLE;U21;U21;U21;U21;SNITER Mathilde;Sniter Mathilde
2023;23FRA018;U21_OPEN;F;SAUT;FRA|2004|SNITER MATHILDE;MATCH;USABLE;U21;U21;U21;U21;SNITER Mathilde;Sniter Mathilde
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|2004|SNITER MATHILDE;MATCH;USABLE;U21;U21;U21;U21;SNITER Mathilde;Sniter Mathilde
2023;23FRA018;U21_OPEN;F;COMBINE;FRA|2002|SONIER PERRINE;MATCH;USABLE;U21;U21;U21;U21;SONIER Perrine;Sonier Perrine
2023;23FRA018;U21_OPEN;F;FIGURES;FRA|2002|SONIER PERRINE;MATCH;USABLE;U21;U21;U21;U21;SONIER Perrine;Sonier Perrine
2023;23FRA018;U21_OPEN;F;SAUT;FRA|2002|SONIER PERRINE;MATCH;USABLE;U21;U21;U21;U21;SONIER Perrine;Sonier Perrine
2023;23FRA018;U21_OPEN;F;SLALOM;FRA|2002|SONIER PERRINE;MATCH;USABLE;U21;U21;U21;U21;SONIER Perrine;Sonier Perrine
2023;23FRA018;U21_OPEN;M;FIGURES;FRA|2005|SOUCI BENJAMIN;MATCH;USABLE;U21;U21;U21;U21;SOUCI Benjamin;Souci Benjamin
2023;23FRA018;U21_OPEN;M;SLALOM;FRA|2005|SOUCI BENJAMIN;MATCH;USABLE;U21;U21;U21;U21;SOUCI Benjamin;Souci Benjamin
2023;23FRA023;SENIOR;M;COMBINE;FRA|1985|DELACOUR ARNAUD;EMS_ONLY;USABLE;SENIOR;;35+;;DELACOUR Arnaud;
2023;23FRA023;SENIOR;M;SAUT;FRA|1985|DELACOUR ARNAUD;EMS_ONLY;USABLE;SENIOR;;35+;;DELACOUR Arnaud;
2023;23FRA023;SENIOR;M;FIGURES;FRA|1980|PAVIET DAVID;EMS_ONLY;USABLE;SENIOR;;35+;;PAVIET David;
2023;23FRA023;SENIOR;M;COMBINE;FRA|1975|MAROIS SEBASTIEN;EMS_ONLY;USABLE;SENIOR;;45+;;MAROIS Sebastien;
2023;23FRA023;SENIOR;M;SAUT;FRA|1975|MAROIS SEBASTIEN;EMS_ONLY;USABLE;SENIOR;;45+;;MAROIS Sebastien;
2023;23FRA023;SENIOR;M;COMBINE;FRA|1961|MATHIEU FRANCOIS;EMS_ONLY;USABLE;SENIOR;;55+;;MATHIEU Francois;
2023;23FRA023;SENIOR;M;SAUT;FRA|1961|MATHIEU FRANCOIS;EMS_ONLY;USABLE;SENIOR;;55+;;MATHIEU Francois;
2023;23FRA023;SENIOR;M;SLALOM;FRA|1953|CHENESSEAU BRUNO;EMS_ONLY;USABLE;SENIOR;;65+;;CHENESSEAU Bruno;
2023;23FRA023;SENIOR;M;SLALOM;FRA|1949|LANZANI CHRISTIAN;EMS_ONLY;USABLE;SENIOR;;70+;;LANZANI Christian;
2023;23FRA023;SENIOR;M;COMBINE;FRA|1980|CUELLAR MATHIEU;MATCH;USABLE;SENIOR;SENIOR;35+;35+;CUELLAR Mathieu;CUELLAR, Mathieu
2023;23FRA023;SENIOR;M;FIGURES;FRA|1980|CUELLAR MATHIEU;MATCH;USABLE;SENIOR;SENIOR;35+;35+;CUELLAR Mathieu;CUELLAR, Mathieu
2023;23FRA023;SENIOR;M;SAUT;FRA|1980|CUELLAR MATHIEU;MATCH;USABLE;SENIOR;SENIOR;35+;35+;CUELLAR Mathieu;CUELLAR, Mathieu
2023;23FRA023;SENIOR;M;SLALOM;FRA|1980|CUELLAR MATHIEU;MATCH;USABLE;SENIOR;SENIOR;35+;35+;CUELLAR Mathieu;CUELLAR, Mathieu
2023;23FRA023;SENIOR;M;FIGURES;FRA|1985|DELACOUR ARNAUD;MATCH;USABLE;SENIOR;SENIOR;35+;35+;DELACOUR Arnaud;Delacour Arnaud
2023;23FRA023;SENIOR;M;SLALOM;FRA|1985|DELACOUR ARNAUD;MATCH;USABLE;SENIOR;SENIOR;35+;35+;DELACOUR Arnaud;Delacour Arnaud
2023;23FRA023;SENIOR;M;COMBINE;FRA|1985|DELPY ANTHONY;MATCH;USABLE;SENIOR;SENIOR;35+;35+;DELPY Anthony;Delpy Anthony
