"Category";"Rows";"Athletes"
"35+ M (38)";"13";"5"
"35+ M (38) Div 1";"3";"2"
"35+ M (39)";"24";"6"
"35+ M (40)";"21";"5"
"35+ M (41)";"5";"2"
"35+ M (42)";"9";"4"
"35+ M (43)";"10";"6"
"35+ M (43) Div 1";"1";"1"
"35+ M (44)";"9";"5"
"35+ M (44) Div 1";"1";"1"
"35+ M (45)";"16";"6"
"35+ M (46)";"2";"1"
"35+ M (47) Div 1";"1";"1"
"35+ M (55)";"1";"1"
"45+ F (46)";"2";"2"
"45+ F (48)";"4";"2"
"45+ F (49)";"6";"2"
"45+ F (50)";"5";"1"
"45+ F (51)";"3";"2"
"45+ F (52)";"3";"1"
"45+ F (52) Div 1";"1";"1"
"45+ F (53)";"10";"3"
"45+ F (54)";"6";"3"
"45+ F (55)";"6";"2"
"45+ F (59) Div 1";"1";"1"
"45+ M (46)";"8";"4"
"45+ M (47)";"17";"6"
"45+ M (47) Div 1";"1";"1"
"45+ M (48)";"25";"7"
"45+ M (49)";"26";"9"
"45+ M (50)";"20";"9"
"45+ M (50) Div 1";"1";"1"
"45+ M (51)";"18";"8"
"45+ M (52)";"21";"7"
"45+ M (52) Div 1";"1";"1"
"45+ M (53)";"20";"9"
"45+ M (54)";"30";"10"
"45+ M (54) Div 1";"1";"1"
"45+ M (55)";"27";"8"
"45+ M (55) Div 3";"1";"1"
"45+ M (56)";"5";"1"
"45+ M (58)";"1";"1"
"45+ M (59) Div 1";"1";"1"
"45+ M (63) Div 1";"1";"1"
"55+ F (57)";"3";"1"
"55+ F (58)";"15";"5"
"55+ F (59)";"14";"7"
"55+ F (59) Div 1";"2";"2"
"55+ F (60)";"9";"4"
"55+ F (60) Div 1";"1";"1"
"55+ F (61)";"1";"1"
"55+ F (64)";"6";"2"
"55+ F (64) Div 1";"1";"1"
"55+ F (65)";"5";"1"
"55+ F (65) Div 1";"1";"1"
"55+ F (66)";"1";"1"
"55+ M (56)";"20";"7"
"55+ M (57)";"7";"5"
"55+ M (58)";"13";"7"
"55+ M (58) Div 1";"2";"2"
"55+ M (59)";"14";"7"
"55+ M (60)";"20";"5"
"55+ M (61)";"19";"9"
"55+ M (62)";"21";"6"
"55+ M (62) Div 1";"1";"1"
"55+ M (63)";"16";"7"
"55+ M (63) Div 1";"1";"1"
"55+ M (64)";"35";"9"
"55+ M (64) Div 1";"3";"2"
"55+ M (65)";"33";"6"
"55+ M (65) Div 1";"1";"1"
"55+ M (66)";"10";"4"
"55+ M (68)";"4";"2"
"55+ M (68) Div 1";"1";"1"
"55+ M (69)";"3";"1"
"55+ M (70)";"1";"1"
"65+ F (66)";"1";"1"
"65+ F (67)";"1";"1"
"65+ F (68)";"1";"1"
"65+ F (69)";"1";"1"
"65+ F (70)";"1";"1"
"65+ M (66)";"33";"11"
"65+ M (66) Div 1";"1";"1"
"65+ M (67)";"20";"7"
"65+ M (68)";"6";"3"
"65+ M (69)";"5";"4"
"65+ M (69) Div 1";"2";"2"
"65+ M (70)";"8";"4"
"65+ M (71) Div 1";"1";"1"
"70+ F (71)";"1";"1"
"70+ M (71)";"9";"3"
"70+ M (72)";"9";"5"
"70+ M (73)";"2";"1"
"70+ M (73) Div 1";"1";"1"
"70+ M (74)";"7";"2"
"70+ M (75)";"5";"1"
"70+ M (76)";"3";"1"
"70+ M (76) Div 1";"1";"1"
"75+ M (76)";"1";"1"
"75+ M (77)";"10";"2"
"75+ M (78)";"6";"2"
"75+ M (79)";"1";"1"
"-8 M (8)";"1";"1"
"85+ M (90)";"1";"1"
"Open F (18)";"1";"1"
"Open F (22)";"17";"5"
"Open F (23)";"8";"4"
"Open F (24)";"6";"3"
"Open F (24) Div 1";"1";"1"
"Open F (25)";"6";"2"
"Open F (26)";"6";"1"
"Open F (27)";"9";"4"
"Open F (27) Div 1";"2";"1"
"Open F (28)";"6";"2"
"Open F (29)";"9";"4"
"Open F (30)";"4";"2"
"Open F (32)";"10";"2"
"Open F (32) Div 1";"3";"2"
"Open F (33)";"15";"3"
"Open F (34)";"10";"3"
"Open F (36)";"2";"1"
"Open F (37)";"2";"1"
"Open F (38)";"3";"1"
"Open F (60)";"1";"1"
"Open M (20)";"2";"2"
"Open M (21)";"3";"3"
"Open M (22)";"19";"10"
"Open M (22) Div 1";"1";"1"
"Open M (23)";"25";"7"
"Open M (23) Div 1";"3";"2"
"Open M (24)";"14";"6"
"Open M (24) Div 1";"1";"1"
"Open M (25)";"8";"3"
"Open M (26)";"5";"4"
"Open M (26) Div 1";"1";"1"
"Open M (27)";"3";"3"
"Open M (28)";"6";"3"
"Open M (29)";"19";"6"
"Open M (29) Div 1";"2";"1"
"Open M (30)";"18";"4"
"Open M (31)";"12";"3"
"Open M (31) Div 1";"2";"1"
"Open M (32)";"7";"4"
"Open M (32) Div 1";"1";"1"
"Open M (33)";"10";"6"
"Open M (34)";"17";"6"
"Open M (34) Div 1";"3";"2"
"Open M (35)";"10";"3"
"Open M (36)";"9";"2"
"Open M (37)";"3";"1"
"Open M (38)";"4";"1"
"Open M (39)";"6";"1"
"Open M (39) Div 1";"1";"1"
"Open M (40)";"3";"2"
"Open M (40) Div 1";"2";"2"
"Open M (51)";"1";"1"
"Open M (61)";"1";"1"
"Pro F (28)";"1";"1"
"Pro M (24)";"1";"1"
"Pro M (32)";"1";"1"
"Pro M (33)";"1";"1"
"Pro M (35)";"1";"1"
